Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,IPM_Laki_Laki,IPM_Perempuan
2025,Aceh,96.32,81.37,70.36,79.85,74.35
2025,Bali,97.05,84.81,76.06,81.96,78.53
2025,Banten,97.09,81.28,65.28,80.81,75.62
2025,Bengkulu,96.12,78.83,69.32,79.34,73.14
2025,Daerah Istimewa Yogyakarta,98.77,88.67,78.42,85.08,81.32
2025,Daerah Khusus Jakarta,98.47,87.55,69.9,86.84,84.17
2025,Gorontalo,95.75,72.95,64.63,74.93,66.81
2025,Jambi,97.02,78.47,63.05,79.14,71.58
2025,Jawa Barat,98.02,83.84,67.33,79.33,72.4
2025,Jawa Tengah,97.21,80.29,67.81,78.32,73.41
2025,Jawa Timur,98.22,84.49,70.64,79.83,74.47
2025,Kalimantan Barat,95.65,72.48,57.6,76.3,67.87
2025,Kalimantan Selatan,97.79,78.54,59.77,79.89,72.68
2025,Kalimantan Tengah,97.55,78.91,63.31,78.7,71.18
2025,Kalimantan Timur,97.68,82.01,73.96,83.74,73.7
2025,Kalimantan Utara,97.05,81.49,73.13,77.77,69.51
2025,Kepulauan Bangka Belitung,97.0,74.06,65.94,78.57,71.88
2025,Kepulauan Riau,98.2,83.55,76.54,83.44,79.49
2025,Lampung,97.64,78.47,67.22,77.52,71.24
2025,Maluku,95.29,77.02,66.29,77.35,72.63
2025,Maluku Utara,95.9,78.65,62.32,77.11,70.26
2025,Nusa Tenggara Barat,97.62,82.54,70.43,77.9,71.6
2025,Nusa Tenggara Timur,95.45,77.28,62.88,73.52,69.0
2025,Papua,91.81,77.95,56.13,78.64,71.31
2025,Papua Barat,94.0,72.24,57.63,75.44,62.52
2025,Papua Barat Daya,94.21,75.13,58.71,77.1,65.2
2025,Papua Pegunungan,74.85,56.16,39.87,59.65,52.39
2025,Papua Selatan,87.64,57.72,45.48,74.8,62.95
2025,Papua Tengah,72.55,54.33,35.59,65.45,53.79
2025,Riau,97.54,81.4,65.22,80.06,72.41
2025,Sulawesi Barat,95.99,75.49,60.89,74.93,68.26
2025,Sulawesi Selatan,96.46,78.45,68.1,79.45,74.92
2025,Sulawesi Tengah,94.67,78.28,68.68,76.17,70.95
2025,Sulawesi Tenggara,95.89,74.78,63.31,78.18,71.84
2025,Sulawesi Utara,96.0,75.05,61.26,79.15,76.13
2025,Sumatera Barat,97.06,82.7,71.57,79.95,76.89
2025,Sumatera Selatan,95.98,74.27,63.08,77.99,73.38
2025,Sumatera Utara,95.99,77.41,70.4,80.14,73.9
